verification_key	native_range	source	checklist_datasetKey	language
5192789	Northern America	Adam W, Leloup E (1934) Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge. Bulletin du Musée royal d'Histoire naturelle de Belgique 10: 1–5	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
7791733	Northern America	Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, https://doi.org/10.3391/ai.2007.2.3.9	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4559541	Asia	Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
8190231	Asia	Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5189032	Asia	Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2287076	Northern America	Nyst HJP (1835) Mollusques. Bulletin des Academies Royal des Sciences Lettres et Beaux Arts 2: 235–236 | Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2287072	Ponto-Caspian	Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2287668	Northern America	Vandepitte L, De Poorter D, Lescrauweart A-N, Fockedey N, Mees J (2012) Niet-inheemse soorten van het Belgisch deel van de Noordzee en aanpalende estuaria. VLIZ Special publication 59. Vlaams Instituut voor de Zee (VLIZ): Oostende België, 372 pp	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2287615	Northern America	Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5188971	Northern America	Verween A, Kerckhof F, Vincx M, Degraer S (2006) First European record of the invasive brackish water clam Rangia cuneata (G.W. Sowerby I, 1831) (Mollusca: Bivalvia). Aquatic Invasions 1: 198–203, https://doi.org/10.3391/ai.2006.1.4.1	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5189806	Northern America	Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5189713	Northern America	Sablon R, Vercauteren T, Lammens S, Ghyselbrecht E (2010a) Freshwater Molluscs introduced in Belgium in the last two Decades – Abstracts of the World Congress of Malacology, Phuket, Thailand, 18–24 July 2010, p 353	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2220347	Ponto-Caspian	Lock K, Van Wichelen J, Packet J, Simoens I, Van Looy K, Louette G, Warmoes T, Denys L (2007) Bepalen van het maximaal en het goed ecologisch potentieel, alsook de huidige toestand, voor een aantal Vlaamse (gewestelijke) waterlichamen die vergelijkbaar zijn met de categorie meren - Deel I. Report Institute of Nature Conservation 2007/51, Brussels	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2220312	Ponto-Caspian	Verslycke T, Janssen C, Lock K, Mees J (2000) First occurrence of the Pontocaspian invader Hemimysis anomala (Sars, 1907) in Belgium (Crustacea: Mysidacea). Belgian Journal of Zoology 130: 157–158	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5177089	Ponto-Caspian	Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2204831	Northern America	Soors J, Faasse M, Stevens M, Verbessem I, De Regge N, Van den Bergh E (2010) New crustacean invaders in the Schelde estuary (Belgium). Belgian Journal of Zoology 140: 3–10	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2206086	Southern Europe	Collection RBINS	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2205951	Southern Europe	Boets et al. unpublished data	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2115769	Asia	Leloup E, Lefevere S (1952) Sur la présence dans les eaux de la côte belge du cirripède, Elminius modestus Darwin, 1854, du copepode parasite, Mytilicola intestinalis Steuer, 1902, et du polychète, Mercierella enigmatica Fauvel, 1922. Mededelingen Koninklijk Belgisch Instituut voor Natuur Wetenschappen 28: 1–12	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2115769	Australia	Leloup E, Lefevere S (1952) Sur la présence dans les eaux de la côte belge du cirripède, Elminius modestus Darwin, 1854, du copepode parasite, Mytilicola intestinalis Steuer, 1902, et du polychète, Mercierella enigmatica Fauvel, 1922. Mededelingen Koninklijk Belgisch Instituut voor Natuur Wetenschappen 28: 1–12	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
6128436	Tropical and warm seas	Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
6467647	Western Atlantic	Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4805564	Southern Europe	Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5166489	South America	Kerckhof F, Cattrijsse A (2001) Exotic Cirripedia (Balanomorpha) from buoys off the Belgian coast. Senckenbergiana maritime 31: 245–254, https://doi.org/10.1007/BF03043033	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2215949	Northern America	Faasse M, Van Moorsel G (2003) The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). Aquatic Ecology 37: 13–22, https://doi.org/10.1023/A:1022120729031	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2218567	Ponto-Caspian	Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2217982	Northern America	Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4416920	Ponto-Caspian	Boets P, Lock K, Goethals PLM (2010b) First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. Belgian Journal of Zoology 140: 244–245	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4314683	Ponto-Caspian	Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4314702	New Zealand	Dewicke A (2002) Hyperbenthic communities of the North Sea. PhD Thesis. Universiteit Gent (RUG): Gent, 219 pp Dumortier M, De Bruyn L, Hens M, Peymen J, Schneiders A, Van Daele T, Van Reeth W (2007) Biodiversity Indicators 2007. State of Nature in Flanders (Belgium). Research Institute for Nature and Forest, Brussels, Belgium	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5177825	Northern America	Faasse M, Van Moorsel G (2003) The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the western Scheldt estuary (The Netherlands). Aquatic Ecology 37: 13–22, https://doi.org/10.1023/A:1022120729031	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5864277	Southern Europe	Collection RBINS	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4315705	Ponto-Caspian	Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2219863	Northern America	Messiaen M, Lock K, Gabriels W, Vercauteren T, Wouters K, Boets P, Goethals PLM (2010) Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). Belgian Journal of Zoology 140: 30–39	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4417131	Ponto-Caspian	Boets P, Lock K, Tempelman D, Van Haaren T, Platvoet D, Goethals PLM (2012c) First occurrence of the Ponto-Caspian amphipod Echinogammarus trichiatus (Martynov, 1932) (Crustacea: Gammaridae) in Belgium. BioInvasions Records 1: 115–120, https://doi.org/10.3391/bir.2012.1.2.06	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4315760	Southern Europe	Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5178057	Northeast Asia	Cook EJ, Jahnke M, Kerckhof F, Minchin D, Faasse M, Boos K, Ashton G (2007) European expansion of the introduced amphipod Caprella mutica Schurin, 1935. Aquatic Invasions 2: 411–421, https://doi.org/10.3391/ai.2007.2.4.11	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2224970	Southeast Asia	Boets P, Lock K, Goethals PLM (2011b) Shifts in the gammarid (Amphipoda) fauna of brackish polder waters in Flanders (Belgium). Journal of Crustacean Biology 31: 270–277, https://doi.org/10.1651/10-3357.1	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2227663	Northern America	Van Damme P, Mees J, Maebe S (1992) Voorkomen van het Zuiderzeekrabbetje Rhithropanopeus harrisii (Gould, 1841) in de Westerschelde. De Strandvlo 12(1): 19–21	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
4382841	Northern America	Dumoulin E (2004) Snelle areaaluitbreiding van het penseelkrabbetje Hemigrapsus penicillatus (de Haan, 1835) langs de kusten van de Zuidelijke Bocht van de Noordzee, status van haar opmars in de Westerschelde en beschouwingen over de ecologie en het gedrag van de soort. De Strandvlo 24(1): 5-35	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2225772	Northern America	Nuyttens F, Versele G, Loones MA (2006) De aanwezigheid van de penseelkrab Hemigrapsus takanoi en de blaasjeskrab Hemigrapsus sanguineus in NieuwpoortBad. De strandvlo 26: 114–115	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2225776	Southeast Asia	Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2225646	Northern America	Van Damme P, Maes J (1993) De Blauwe Zwemkrab Callinectes sapidus Rathbun, 1896 in de Westerschelde (België). De Strandvlo 13(4): 120–121	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2227300	Northern America	Boets P, Lock K, Cammaerts R, Plu D, Goethals PLM (2009) Occurrence of the invasive crayfish Procambarus clarkii (Girard, 1852) in Belgium (Crustacea: Cambaridae). Belgian Journal of Zoology 139: 173–175	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2227000	Northern America	Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
2226990	Northern America	Gérard P (1986) Les différentes espèces d'écrevisses en Belgique et leur répartition géographique. Station de Recherche Forestière et Hydrobiologique. Travaux serie D 54, 25 p	289244ee-e1c1-49aa-b2d7-d379391ce265	eng
5202793	Africa	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
4286975	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
4285968	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
4287131	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2362473	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2366634	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2366634	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
4286942	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2379105	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2382155	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2367033	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2379089	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2362486	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
4285694	Africa	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2362868	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2362030	Asia	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
2402168	Eastern Europe	NA	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	eng
7802465	cultivated origin	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3033077	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5914287	Asia	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5914287	Australasia (WGSRPD:5)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3172622	Pantropical	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2889934	Southern America (WGSRPD:8)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5646410	Southern America (WGSRPD:8)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
7397079	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5646136	Africa (WGSRPD:2)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5646136	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5646136	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5569367	Australasia (WGSRPD:5)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3872463	Southern America (WGSRPD:8)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3171888	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2684984	Southern America (WGSRPD:8)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
8060423	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3190382	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
7740617	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
8077391	tropical Asia (WGSRPD:4)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3190411	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3079631	Africa (WGSRPD:2)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3079631	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3079631	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5381097	Africa (WGSRPD:2)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5303040	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2650107	pan-American	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5274861	Southern America (WGSRPD:8)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5274858	Asia	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5274858	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3152824	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3082297	Africa (WGSRPD:2)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3082297	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3082297	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
4090836	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5289490	hybrid origin	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5289492	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5289492	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5289503	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5328909	pan-American	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5361762	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5361785	Southern America (WGSRPD:8)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5602664	cultivated origin	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5414545	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5414545	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
7150619	Africa (WGSRPD:2)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3170247	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5414550	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5414550	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3170266	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3169708	Africa (WGSRPD:2)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3169708	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3169708	temperate Asia (WGSRPD:3)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
5414551	Europe (WGSRPD:1)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2888323	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2959443	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2957408	pan-American	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
2957966	Pantropical	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
3172615	Northern America (WGSRPD:7)	NA	9ff7d317-609b-4c08-bd86-3bc404b77c42	eng
